iter,maxphiE,minphiE,volE
0,+0.000000000000000,+0.000000000000000,+1073741824.000000000000000,+0.000000000000000
1,+0.000186384838428,-0.000227013959198,+1073740448.824978947639465,+0.000000000000000
2,+0.000368057422887,-0.000447483762250,+1073740457.373061656951904,+0.000000000000000
3,+0.000545147228648,-0.000661679424191,+1073740465.881337404251099,+0.000000000000000
4,+0.000717781925610,-0.000869859065132,+1073740474.096655726432800,+0.000000000000000
5,+0.000886086485601,-0.001072269255237,+1073740482.130028009414673,+0.000000000000000
6,+1.001349411923798,-0.001762316625738,+1073740974.953913807868958,+0.000000000000000
7,+1.002574464771130,-0.003299332217932,+1073740982.913915157318115,+0.000000000000000
8,+1.003678913567707,-0.004827821850927,+1073740990.665079116821289,+0.000000000000000
9,+1.004666340692543,-0.006283450343865,+1073740998.349994540214539,+0.000000000000000
10,+1.005540172183064,-0.007665783683544,+1073741005.900497198104858,+0.000000000000000
11,+1.006303692615286,-0.008976988959392,+1073741983.153697490692139,+0.000000000000000
12,+1.006960058695139,-0.010219251520604,+1073741990.203792095184326,+0.000000000000000
13,+1.007512311676078,-0.011394765252537,+1073741997.322111606597900,+0.000000000000000
14,+1.007963388701113,-0.012505723659049,+1073742489.072937488555908,+0.000000000000000
15,+1.008316133059066,-0.013554311865671,+1073742495.680860519409180,+0.000000000000000
16,+1.008573303800053,-0.014542699084996,+1073742986.915854454040527,+0.000000000000000
17,+1.008737584228845,-0.015473032201428,+1073743477.938634395599365,+0.000000000000000
18,+1.008811589688636,-0.016349589632634,+1073743483.797523498535156,+0.000000000000000
19,+1.008797874600337,-0.017176745611718,+1073743489.642857074737549,+0.000000000000000
20,+1.008698938804219,-0.017952761025272,+1073743495.445320606231689,+0.000000000000000
21,+1.008573305021986,-0.018679524702437,+1073744471.070320367813110,+0.000000000000000
22,+1.008737585840809,-0.019358876153374,+1073744476.721992731094360,+0.000000000000000
23,+1.008811591803317,-0.019992605217229,+1073744967.218614578247070,+0.000000000000000
24,+1.008797877334453,-0.020582451888623,+1073745457.513544321060181,+0.000000000000000
25,+1.008737582605206,-0.021130106306870,+1073745462.913353919982910,+0.000000000000000
26,+1.008811588303594,-0.021637208904766,+1073745468.335378170013428,+0.000000000000000
27,+1.008797873571656,-0.022105350655498,+1073745473.924022436141968,+0.000000000000000
28,+1.008811580322990,-0.022536073475177,+1073745479.740536689758301,+0.000000000000000
29,+1.008811587069700,-0.022930870721052,+1073745970.535033941268921,+0.000000000000000
