iter,maxphiE,minphiE,volE
0,+1.000000000000000,+0.000000000000000,+1073742794.000000000000000,+0.000000000000000
1,+1.001349343059539,-0.001762322881857,+1073741602.574614644050598,+0.000000000000000
2,+1.002574326674345,-0.003299339948407,+1073742094.117463827133179,+0.000000000000000
3,+1.003678705861155,-0.004827832718764,+1073742100.079074859619141,+0.000000000000000
4,+1.004666062991216,-0.006283463071020,+1073742105.816755294799805,+0.000000000000000
5,+1.005539824095711,-0.007665798298042,+1073742111.540271759033203,+0.000000000000000
6,+1.006303273746176,-0.008977005488568,+1073742117.058333158493042,+0.000000000000000
7,+1.006959568646013,-0.010219269991202,+1073742122.480613708496094,+0.000000000000000
8,+1.007511750048209,-0.011394785690799,+1073742612.583988666534424,+0.000000000000000
9,+1.007962755097463,-0.012505746090795,+1073742617.726329565048218,+0.000000000000000
10,+1.008315427181153,-0.013554336204308,+1073743591.995321273803711,+0.000000000000000
11,+1.008572525362523,-0.014542725245006,+1073743595.751374721527100,+0.000000000000000
12,+1.008736732846387,-0.015473060098478,+1073744569.062261819839478,+0.000000000000000
13,+1.008810664992154,-0.016349629709873,+1073744572.300355195999146,+0.000000000000000
14,+1.008810663142878,-0.017176788075517,+1073744575.583095550537109,+0.000000000000000
15,+1.008796874565909,-0.017952805789517,+1073745063.501964092254639,+0.000000000000000
16,+1.008697865060893,-0.018679573719060,+1073746520.734291553497314,+0.000000000000000
17,+1.008516085593832,-0.019358940757848,+1073746523.151649475097656,+0.000000000000000
18,+1.008572519408378,-0.019992693358486,+1073746525.378514766693115,+0.000000000000000
19,+1.008736726483366,-0.020582563285381,+1073747012.238115549087524,+0.000000000000000
20,+1.008810658336840,-0.021130240687735,+1073747014.115522384643555,+0.000000000000000
21,+1.008796869406468,-0.021637365996594,+1073747015.736038684844971,+0.000000000000000
22,+1.008810664247031,-0.022105530195303,+1073747502.208618402481079,+0.000000000000000
23,+1.008796875762855,-0.022536275210136,+1073747988.677826642990112,+0.000000000000000
24,+1.008810661701518,-0.022931094408445,+1073747990.178261280059814,+0.000000000000000
25,+1.008796873026432,-0.023291433192441,+1073747991.296117782592773,+0.000000000000000
26,+1.008736728097654,-0.023618689677427,+1073748452.601480722427368,+0.000000000000000
27,+1.008810660020333,-0.023914215444072,+1073748454.155032157897949,+0.000000000000000
28,+1.008810678354844,-0.024179316354993,+1073748940.750936985015869,+0.000000000000000
29,+1.008796893690078,-0.024415253426615,+1073750397.051202774047852,+0.000000000000000
