iter,maxphiE,minphiE,volE
0,+0.000000000000000,+0.000000000000000,+1073741824.000000000000000,+0.000000000000000
1,+0.000246815323395,-0.000548970948661,+1073740387.879608154296875,+0.000000000000000
2,+1.001349343299865,-0.001762321113580,+1073741850.826599121093750,+0.000000000000000
3,+1.002574327154856,-0.003299337664436,+1073742343.192487955093384,+0.000000000000000
4,+1.003678706581735,-0.004827829921044,+1073742350.267838478088379,+0.000000000000000
5,+1.004666063951763,-0.006283459770107,+1073742357.171058893203735,+0.000000000000000
6,+1.005539825296128,-0.007665794500388,+1073742848.845527172088623,+0.000000000000000
7,+1.006303275186359,-0.008977001200679,+1073742855.569498300552368,+0.000000000000000
8,+1.006959570325839,-0.010219265219619,+1073742861.865432739257812,+0.000000000000000
9,+1.007511751967531,-0.011394780442086,+1073742868.242794990539551,+0.000000000000000
10,+1.007962757256099,-0.012505740371518,+1073743358.770484447479248,+0.000000000000000
11,+1.008315429578877,-0.013554330021022,+1073743848.833330631256104,+0.000000000000000
12,+1.008572527999060,-0.014542718604243,+1073743853.554703712463379,+0.000000000000000
13,+1.008736735835580,-0.015473053006733,+1073743858.115474700927734,+0.000000000000000
14,+1.008810668446982,-0.016349622146807,+1073743862.875958442687988,+0.000000000000000
15,+1.008810656659656,-0.017176780072296,+1073743867.183157920837402,+0.000000000000000
16,+1.008796867598310,-0.017952797352478,+1073743871.165508270263672,+0.000000000000000
17,+1.008736730244167,-0.018679562818143,+1073743875.042702674865723,+0.000000000000000
18,+1.008810662403870,-0.019358915981107,+1073744338.780508756637573,+0.000000000000000
19,+1.008796873779857,-0.019992646682183,+1073744342.192116260528564,+0.000000000000000
20,+1.008697864230371,-0.020582494774340,+1073744345.429741859436035,+0.000000000000000
21,+1.008736726474276,-0.021130150400919,+1073745318.492530584335327,+0.000000000000000
22,+1.008810658328697,-0.021637253986917,+1073745321.363824605941772,+0.000000000000000
23,+1.008810657676895,-0.022105396509538,+1073745323.845435380935669,+0.000000000000000
24,+1.008796868712548,-0.022536119888894,+1073745326.483449459075928,+0.000000000000000
25,+1.008697858826099,-0.022930917486210,+1073746298.605857372283936,+0.000000000000000
26,+1.008516078983836,-0.023291234697638,+1073746300.658772468566895,+0.000000000000000
27,+1.008315396810878,-0.023618469632528,+1073746302.918778419494629,+0.000000000000000
28,+1.008572491936304,-0.023913974873549,+1073746305.033979892730713,+0.000000000000000
29,+1.008736696477999,-0.024179055446066,+1073746306.925604104995728,+0.000000000000000
