iter,maxphiE,minphiE,volE
0,+1.000000000000000,+0.000000000000000,+1073742309.000000000000000,+0.000000000000000
1,+1.001349330461457,-0.001762402245661,+1073740934.088160276412964,+0.000000000000000
2,+1.002574301464412,-0.003299702347362,+1073740942.334590911865234,+0.000000000000000
3,+1.003678668022506,-0.004828677565232,+1073741434.802677631378174,+0.000000000000000
4,+1.004666012504100,-0.006284586085697,+1073741441.745799660682678,+0.000000000000000
5,+1.005539760937766,-0.007667197626217,+1073741448.530231475830078,+0.000000000000000
6,+1.006303197892756,-0.008978679219569,+1073741455.359933376312256,+0.000000000000000
7,+1.006959480070544,-0.010221216171383,+1073741462.142610907554626,+0.000000000000000
8,+1.007511648722589,-0.011397002335222,+1073741953.476802349090576,+0.000000000000000
9,+1.007962640992470,-0.012508231193736,+1073741959.808799266815186,+0.000000000000000
10,+1.008315300266872,-0.013557087748704,+1073742450.519568920135498,+0.000000000000000
11,+1.008572385608772,-0.014545741210952,+1073742940.319905042648315,+0.000000000000000
12,+1.008736580337333,-0.015476338470854,+1073742945.028916120529175,+0.000000000000000
13,+1.008810499811753,-0.016354586053876,+1073742949.128379344940186,+0.000000000000000
14,+1.008796698470613,-0.017182105671236,+1073742953.312642812728882,+0.000000000000000
15,+1.008810500269973,-0.017958481756469,+1073742956.918407440185547,+0.000000000000000
16,+1.008796698969485,-0.018685603173365,+1073743445.296479225158691,+0.000000000000000
17,+1.008697676713739,-0.019365309473162,+1073743448.379554271697998,+0.000000000000000
18,+1.008572386488798,-0.019999390541836,+1073743936.227700233459473,+0.000000000000000
19,+1.008736581308379,-0.020589586425958,+1073743938.662219047546387,+0.000000000000000
20,+1.008810500875628,-0.021137587321332,+1073744425.514155387878418,+0.000000000000000
21,+1.008796699629101,-0.021645033709443,+1073744427.041881084442139,+0.000000000000000
22,+1.008810497864718,-0.022113516627506,+1073744428.379238605499268,+0.000000000000000
23,+1.008810500457296,-0.022544578058719,+1073744914.160803318023682,+0.000000000000000
24,+1.008796699171723,-0.022939711430043,+1073744914.561259746551514,+0.000000000000000
25,+1.008697676930819,-0.023300362205629,+1073744914.572969913482666,+0.000000000000000
26,+1.008572385574084,-0.023627928564728,+1073744914.620068311691284,+0.000000000000000
27,+1.008736580309535,-0.023923762153646,+1073744914.867287635803223,+0.000000000000000
28,+1.008810499792206,-0.024189168902039,+1073745399.821280002593994,+0.000000000000000
29,+1.008796698460620,-0.024425409894499,+1073745399.932648897171021,+0.000000000000000
