iter,maxphiE,minphiE,volE
0,+0.000000000000000,+0.000000000000000,+1073741824.000000000000000,+0.000000000000000
1,+0.000162350444663,-0.000200816519244,+1073740234.857319355010986,+0.000000000000000
2,+0.000321061645913,-0.000392463161371,+1073740244.589257717132568,+0.000000000000000
3,+0.000474519120116,-0.000577140825534,+1073740254.164265275001526,+0.000000000000000
4,+1.001349412374466,-0.001762321963866,+1073741233.319112777709961,+0.000000000000000
5,+1.002574465454928,-0.003299338209414,+1073741242.266216516494751,+0.000000000000000
6,+1.003678914266742,-0.004827829019366,+1073741250.956800222396851,+0.000000000000000
7,+1.004666341187810,-0.006283458507037,+1073741259.849391818046570,+0.000000000000000
8,+1.005540172253901,-0.007665792868733,+1073741268.596975088119507,+0.000000000000000
9,+1.006303692039000,-0.008976999193413,+1073741277.320585608482361,+0.000000000000000
10,+1.006960057246762,-0.010219262829843,+1073741285.847615361213684,+0.000000000000000
11,+1.007512309127737,-0.011394777662987,+1073741294.352443218231201,+0.000000000000000
12,+1.007963384822484,-0.012505737196346,+1073741302.632740974426270,+0.000000000000000
13,+1.008316127712067,-0.013554326443068,+1073741311.047190666198730,+0.000000000000000
14,+1.008573296851286,-0.014542714616813,+1073741319.306009531021118,+0.000000000000000
15,+1.008737575548619,-0.015473048603139,+1073741327.527501821517944,+0.000000000000000
16,+1.008811579150146,-0.016349609289125,+1073741335.543479919433594,+0.000000000000000
17,+1.008797862078991,-0.017176766199021,+1073741828.373928070068359,+0.000000000000000
18,+1.008698924177084,-0.017952782461071,+1073742320.759319305419922,+0.000000000000000
19,+1.008517216392379,-0.018679546905927,+1073742328.137858390808105,+0.000000000000000
20,+1.008255145851507,-0.019358899045263,+1073742335.398705244064331,+0.000000000000000
21,+1.007915080355477,-0.019992628719731,+1073742342.581360101699829,+0.000000000000000
22,+1.007499352333907,-0.020582475925444,+1073742349.790548801422119,+0.000000000000000
23,+1.007010262291666,-0.021130130803200,+1073742356.937012672424316,+0.000000000000000
24,+1.007512308938822,-0.021637233775459,+1073742363.978852272033691,+0.000000000000000
25,+1.007963384618716,-0.022105375816895,+1073742370.952576160430908,+0.000000000000000
26,+1.008316127495474,-0.022536098845107,+1073742862.752165794372559,+0.000000000000000
27,+1.008573296623845,-0.022930896218830,+1073742869.591346979141235,+0.000000000000000
28,+1.008737575312255,-0.023291213331752,+1073742876.542796850204468,+0.000000000000000
29,+1.008811578906742,-0.023618448290787,+1073742883.499316692352295,+0.000000000000000
